image,miou,dice,pixel_acc,cldice,surface_dice_2px,surface_dice_5px
12_VID001_00470.jpg,2.410219329953217e-12,2.410219329953217e-12,0.9047520661157025,0.9943255186080933,0.0,0.0
12_VID001_00475.jpg,0.061605774147095026,0.11606149033086831,0.9325459136822773,0.6612095832824707,0.10432618683001531,0.16462480857580397
12_VID001_00480.jpg,0.30404809045751763,0.466314229792258,0.9330234159779615,0.6552027463912964,0.15406058353465898,0.23508641516446757
12_VID001_00485.jpg,0.0007559395263795805,0.0015107370253873023,0.8513062442607897,0.883367121219635,0.005595275101025801,0.020205160087037613
12_VID001_00490.jpg,5.89344648747116e-12,5.89344648747116e-12,0.9610468319559229,0.5013146996498108,0.0,0.0
12_VID001_00495.jpg,0.4574828722483999,0.6277711813411823,0.9474632690541781,0.7270599603652954,0.23581081081081082,0.4819256756756757
12_VID001_00500.jpg,0.2467907000504127,0.39588152211860916,0.9322474747474747,0.5984945893287659,0.16048925129725722,0.2390659747961453
12_VID001_01000.jpg,0.6416967023518164,0.7817481772756915,0.9694191919191919,0.8515307307243347,0.39407430150445194,0.6734725207245932
12_VID001_01061.jpg,0.7052874633068925,0.8271772102740318,0.9622015610651974,0.8737322092056274,0.4032525378081624,0.6201574476900766
12_VID001_01094.jpg,0.6151554513884517,0.761729096551631,0.9374265381083563,0.9141078591346741,0.27416154936230513,0.5639111950873879
12_VID001_01105.jpg,0.6257626303615157,0.7698081118055886,0.9428282828282828,0.7923679947853088,0.29935383244206776,0.5471256684491979
12_VID001_01156.jpg,0.606169483953373,0.7548013955054594,0.9514348025711662,0.8757039308547974,0.404491833030853,0.6584618874773139
12_VID001_01174.jpg,0.3719661222028167,0.542238057023324,0.8808379247015611,0.7538965940475464,0.18368414171787162,0.335730160805334
12_VID001_01200.jpg,0.5881486779284626,0.7406720618819578,0.955052800734619,0.7400075197219849,0.4456361442552621,0.582383697546588
